"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"6416","Dus1l","Q8C2P3","tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Mus musculus OX=10090 GN=Dus1l PE=2 SV=1",">sp|Q8C2P3|DUS1L_MOUSE tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Mus musculus OX=10090 GN=Dus1l PE=2 SV=1","ENSMUSG00000025155"
"6417","Exosc6","Q8BTW3","Exosome complex component MTR3 OS=Mus musculus OX=10090 GN=Exosc6 PE=1 SV=1",">sp|Q8BTW3|EXOS6_MOUSE Exosome complex component MTR3 OS=Mus musculus OX=10090 GN=Exosc6 PE=1 SV=1","ENSMUSG00000109941"
"6418","Cox18","G5E8U6","Cytochrome c oxidase assembly protein COX18, mitochondrial OS=Mus musculus OX=10090 GN=Cox18 PE=1 SV=1",">tr|G5E8U6|G5E8U6_MOUSE Cytochrome c oxidase assembly protein COX18, mitochondrial OS=Mus musculus OX=10090 GN=Cox18 PE=1 SV=1","ENSMUSG00000035505"
"6419","Sigmar1","O55242","Sigma non-opioid intracellular receptor 1 OS=Mus musculus OX=10090 GN=Sigmar1 PE=1 SV=1",">sp|O55242|SGMR1_MOUSE Sigma non-opioid intracellular receptor 1 OS=Mus musculus OX=10090 GN=Sigmar1 PE=1 SV=1","ENSMUSG00000036078"
"6420","Wdr5","F6Q3W0","WD repeat-containing protein 5 (Fragment) OS=Mus musculus OX=10090 GN=Wdr5 PE=1 SV=1",">tr|F6Q3W0|F6Q3W0_MOUSE WD repeat-containing protein 5 (Fragment) OS=Mus musculus OX=10090 GN=Wdr5 PE=1 SV=1","ENSMUSG00000026917"
"6421","Rpa3","Q9CQ71","Replication protein A 14 kDa subunit OS=Mus musculus OX=10090 GN=Rpa3 PE=1 SV=1",">sp|Q9CQ71|RFA3_MOUSE Replication protein A 14 kDa subunit OS=Mus musculus OX=10090 GN=Rpa3 PE=1 SV=1","ENSMUSG00000012483"
"6422","Kif26a","Q52KG5","Kinesin-like protein KIF26A OS=Mus musculus OX=10090 GN=Kif26a PE=1 SV=2",">sp|Q52KG5|KI26A_MOUSE Kinesin-like protein KIF26A OS=Mus musculus OX=10090 GN=Kif26a PE=1 SV=2","ENSMUSG00000021294"
"6423","Nrbf2","Q8VCQ3","Nuclear receptor-binding factor 2 OS=Mus musculus OX=10090 GN=Nrbf2 PE=1 SV=1",">sp|Q8VCQ3|NRBF2_MOUSE Nuclear receptor-binding factor 2 OS=Mus musculus OX=10090 GN=Nrbf2 PE=1 SV=1","ENSMUSG00000075000"
"6424","Tma7","Q8K003","Translation machinery-associated protein 7 OS=Mus musculus OX=10090 GN=Tma7 PE=3 SV=1",">sp|Q8K003|TMA7_MOUSE Translation machinery-associated protein 7 OS=Mus musculus OX=10090 GN=Tma7 PE=3 SV=1","ENSMUSG00000091537"
"6425","Syt7","A0A494BB44","Synaptotagmin-7 OS=Mus musculus OX=10090 GN=Syt7 PE=1 SV=1",">tr|A0A494BB44|A0A494BB44_MOUSE Synaptotagmin-7 OS=Mus musculus OX=10090 GN=Syt7 PE=1 SV=1","ENSMUSG00000024743"
"6426","Cep63","U5KVR9","Centrosomal protein of 63 kDa OS=Mus musculus OX=10090 GN=Cep63 PE=1 SV=1",">tr|U5KVR9|U5KVR9_MOUSE Centrosomal protein of 63 kDa OS=Mus musculus OX=10090 GN=Cep63 PE=1 SV=1","ENSMUSG00000032534"
"6427","Lbp","Q61805","Lipopolysaccharide-binding protein OS=Mus musculus OX=10090 GN=Lbp PE=1 SV=2",">sp|Q61805|LBP_MOUSE Lipopolysaccharide-binding protein OS=Mus musculus OX=10090 GN=Lbp PE=1 SV=2","ENSMUSG00000016024"
"6428","Ptp4a1","Q63739","Protein tyrosine phosphatase type IVA 1 OS=Mus musculus OX=10090 GN=Ptp4a1 PE=1 SV=1",">sp|Q63739|TP4A1_MOUSE Protein tyrosine phosphatase type IVA 1 OS=Mus musculus OX=10090 GN=Ptp4a1 PE=1 SV=1","ENSMUSG00000026064; ENSMUSG00000117310"
"6429","Prg4","E9QQ18","Proteoglycan 4 OS=Mus musculus OX=10090 GN=Prg4 PE=1 SV=1",">tr|E9QQ18|E9QQ18_MOUSE Proteoglycan 4 OS=Mus musculus OX=10090 GN=Prg4 PE=1 SV=1","ENSMUSG00000006014"
"6430","Pomgnt1","Q91X88","Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Pomgnt1 PE=1 SV=1",">sp|Q91X88|PMGT1_MOUSE Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Pomgnt1 PE=1 SV=1","ENSMUSG00000028700"
"6431","Hirip3","Q8BLH7","HIRA-interacting protein 3 OS=Mus musculus OX=10090 GN=Hirip3 PE=1 SV=1",">sp|Q8BLH7|HIRP3_MOUSE HIRA-interacting protein 3 OS=Mus musculus OX=10090 GN=Hirip3 PE=1 SV=1","ENSMUSG00000042606"
"6432","Atp5mk","Q78IK2","ATP synthase membrane subunit K, mitochondrial OS=Mus musculus OX=10090 GN=Atp5mk PE=1 SV=1",">sp|Q78IK2|ATPMK_MOUSE ATP synthase membrane subunit K, mitochondrial OS=Mus musculus OX=10090 GN=Atp5mk PE=1 SV=1","ENSMUSG00000071528"
"6433","Suco","Q8C341","SUN domain-containing ossification factor OS=Mus musculus OX=10090 GN=Suco PE=1 SV=3",">sp|Q8C341|SUCO_MOUSE SUN domain-containing ossification factor OS=Mus musculus OX=10090 GN=Suco PE=1 SV=3","ENSMUSG00000040297"
"6434","Pet100","A0A140LIT5","Protein PET100 homolog, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Pet100 PE=1 SV=1",">tr|A0A140LIT5|A0A140LIT5_MOUSE Protein PET100 homolog, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Pet100 PE=1 SV=1","ENSMUSG00000087687"
"6435","Tcf3","E9PVV1","Transcription factor E2-alpha OS=Mus musculus OX=10090 GN=Tcf3 PE=1 SV=1",">tr|E9PVV1|E9PVV1_MOUSE Transcription factor E2-alpha OS=Mus musculus OX=10090 GN=Tcf3 PE=1 SV=1","ENSMUSG00000020167"
"6436","Cpe","Q00493","Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2",">sp|Q00493|CBPE_MOUSE Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2","ENSMUSG00000037852"
"6437","Igkv8-21","A0A140T8P7","Immunoglobulin kappa variable 8-21 (Fragment) OS=Mus musculus OX=10090 GN=Igkv8-21 PE=1 SV=2",">tr|A0A140T8P7|A0A140T8P7_MOUSE Immunoglobulin kappa variable 8-21 (Fragment) OS=Mus musculus OX=10090 GN=Igkv8-21 PE=1 SV=2","ENSMUSG00000076586"
"6438","Eif2ak4","Q9QZ05","eIF-2-alpha kinase GCN2 OS=Mus musculus OX=10090 GN=Eif2ak4 PE=1 SV=2",">sp|Q9QZ05|E2AK4_MOUSE eIF-2-alpha kinase GCN2 OS=Mus musculus OX=10090 GN=Eif2ak4 PE=1 SV=2","ENSMUSG00000005102"
"6439","Asxl2","F6WV21","Putative Polycomb group protein ASXL2 OS=Mus musculus OX=10090 GN=Asxl2 PE=1 SV=1",">tr|F6WV21|F6WV21_MOUSE Putative Polycomb group protein ASXL2 OS=Mus musculus OX=10090 GN=Asxl2 PE=1 SV=1","ENSMUSG00000037486"
"6440","Clec16a","Q80U30","Protein CLEC16A OS=Mus musculus OX=10090 GN=Clec16a PE=1 SV=2",">sp|Q80U30|CL16A_MOUSE Protein CLEC16A OS=Mus musculus OX=10090 GN=Clec16a PE=1 SV=2","ENSMUSG00000068663"
"6441","Fut8","Q9WTS2","Alpha-(1,6)-fucosyltransferase OS=Mus musculus OX=10090 GN=Fut8 PE=1 SV=2",">sp|Q9WTS2|FUT8_MOUSE Alpha-(1,6)-fucosyltransferase OS=Mus musculus OX=10090 GN=Fut8 PE=1 SV=2","ENSMUSG00000021065"
"6442","Cd59a","O55186","CD59A glycoprotein OS=Mus musculus OX=10090 GN=Cd59a PE=2 SV=1",">sp|O55186|CD59A_MOUSE CD59A glycoprotein OS=Mus musculus OX=10090 GN=Cd59a PE=2 SV=1","ENSMUSG00000032679"
"6443","Smim12","Q78RX3","Small integral membrane protein 12 OS=Mus musculus OX=10090 GN=Smim12 PE=3 SV=1",">sp|Q78RX3|SIM12_MOUSE Small integral membrane protein 12 OS=Mus musculus OX=10090 GN=Smim12 PE=3 SV=1","ENSMUSG00000042380"
"6444","Dnajc16","Q80TN4","DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2",">sp|Q80TN4|DJC16_MOUSE DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2","ENSMUSG00000040697"
"6445","Snx29","Q9D3S3","Sorting nexin-29 OS=Mus musculus OX=10090 GN=Snx29 PE=1 SV=2",">sp|Q9D3S3|SNX29_MOUSE Sorting nexin-29 OS=Mus musculus OX=10090 GN=Snx29 PE=1 SV=2","ENSMUSG00000071669"
"6446","Ankrd13a","Q80UP5","Ankyrin repeat domain-containing protein 13A OS=Mus musculus OX=10090 GN=Ankrd13a PE=1 SV=2",">sp|Q80UP5|AN13A_MOUSE Ankyrin repeat domain-containing protein 13A OS=Mus musculus OX=10090 GN=Ankrd13a PE=1 SV=2","ENSMUSG00000041870"
"6447","Sfrp1","Q8C4U3","Secreted frizzled-related protein 1 OS=Mus musculus OX=10090 GN=Sfrp1 PE=1 SV=3",">sp|Q8C4U3|SFRP1_MOUSE Secreted frizzled-related protein 1 OS=Mus musculus OX=10090 GN=Sfrp1 PE=1 SV=3","ENSMUSG00000031548"
"6448","Josd1","Q9DBJ6","Josephin-1 OS=Mus musculus OX=10090 GN=Josd1 PE=1 SV=1",">sp|Q9DBJ6|JOS1_MOUSE Josephin-1 OS=Mus musculus OX=10090 GN=Josd1 PE=1 SV=1","ENSMUSG00000022426"
"6449","Cybc1","Q3TYS2","Cytochrome b-245 chaperone 1 OS=Mus musculus OX=10090 GN=Cybc1 PE=1 SV=2",">sp|Q3TYS2|CYBC1_MOUSE Cytochrome b-245 chaperone 1 OS=Mus musculus OX=10090 GN=Cybc1 PE=1 SV=2","ENSMUSG00000039294"
"6450","Aldh3a2","A0A140LJF9","Aldehyde dehydrogenase family 3 member A2 (Fragment) OS=Mus musculus OX=10090 GN=Aldh3a2 PE=1 SV=1",">tr|A0A140LJF9|A0A140LJF9_MOUSE Aldehyde dehydrogenase family 3 member A2 (Fragment) OS=Mus musculus OX=10090 GN=Aldh3a2 PE=1 SV=1","ENSMUSG00000010025"
"6451","Slc7a6os","Q7TPE5","Probable RNA polymerase II nuclear localization protein SLC7A6OS OS=Mus musculus OX=10090 GN=Slc7a6os PE=1 SV=1",">sp|Q7TPE5|S7A6O_MOUSE Probable RNA polymerase II nuclear localization protein SLC7A6OS OS=Mus musculus OX=10090 GN=Slc7a6os PE=1 SV=1","ENSMUSG00000033106"
"6452","Reck","Q9Z0J1","Reversion-inducing cysteine-rich protein with Kazal motifs OS=Mus musculus OX=10090 GN=Reck PE=1 SV=2",">sp|Q9Z0J1|RECK_MOUSE Reversion-inducing cysteine-rich protein with Kazal motifs OS=Mus musculus OX=10090 GN=Reck PE=1 SV=2","ENSMUSG00000028476"
"6453","Stn1","Q8K2X3","CST complex subunit STN1 OS=Mus musculus OX=10090 GN=Stn1 PE=1 SV=2",">sp|Q8K2X3|STN1_MOUSE CST complex subunit STN1 OS=Mus musculus OX=10090 GN=Stn1 PE=1 SV=2","ENSMUSG00000042694"
"6454","Polrmt","Q8BKF1","DNA-directed RNA polymerase, mitochondrial OS=Mus musculus OX=10090 GN=Polrmt PE=1 SV=1",">sp|Q8BKF1|RPOM_MOUSE DNA-directed RNA polymerase, mitochondrial OS=Mus musculus OX=10090 GN=Polrmt PE=1 SV=1","ENSMUSG00000020329"
"6455","Dmac1","Q9CQ00","Distal membrane-arm assembly complex protein 1 OS=Mus musculus OX=10090 GN=Dmac1 PE=1 SV=1",">sp|Q9CQ00|DMAC1_MOUSE Distal membrane-arm assembly complex protein 1 OS=Mus musculus OX=10090 GN=Dmac1 PE=1 SV=1","ENSMUSG00000028398"
"6456","Ufsp1","Q9CZP0","Ufm1-specific protease 1 OS=Mus musculus OX=10090 GN=Ufsp1 PE=1 SV=1",">sp|Q9CZP0|UFSP1_MOUSE Ufm1-specific protease 1 OS=Mus musculus OX=10090 GN=Ufsp1 PE=1 SV=1","ENSMUSG00000051502"
"6457","Usp21","E9PUE2","Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus OX=10090 GN=Usp21 PE=1 SV=1",">tr|E9PUE2|E9PUE2_MOUSE Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus OX=10090 GN=Usp21 PE=1 SV=1","ENSMUSG00000053483"
"6458","Tmem263","Q9DAM7","Transmembrane protein 263 OS=Mus musculus OX=10090 GN=Tmem263 PE=1 SV=1",">sp|Q9DAM7|TM263_MOUSE Transmembrane protein 263 OS=Mus musculus OX=10090 GN=Tmem263 PE=1 SV=1","ENSMUSG00000060935"
"6459","Hexim1","Q8R409","Protein HEXIM1 OS=Mus musculus OX=10090 GN=Hexim1 PE=1 SV=1",">sp|Q8R409|HEXI1_MOUSE Protein HEXIM1 OS=Mus musculus OX=10090 GN=Hexim1 PE=1 SV=1","ENSMUSG00000048878"
"6460","Tradd","Q3U0V2","Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Mus musculus OX=10090 GN=Tradd PE=1 SV=1",">sp|Q3U0V2|TRADD_MOUSE Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Mus musculus OX=10090 GN=Tradd PE=1 SV=1","ENSMUSG00000031887"
"6461","Golt1b","Q9CR60","Vesicle transport protein GOT1B OS=Mus musculus OX=10090 GN=Golt1b PE=1 SV=1",">sp|Q9CR60|GOT1B_MOUSE Vesicle transport protein GOT1B OS=Mus musculus OX=10090 GN=Golt1b PE=1 SV=1","ENSMUSG00000030245"
"6462","Plekhh3","Q8VCE9","Pleckstrin homology domain-containing family H member 3 OS=Mus musculus OX=10090 GN=Plekhh3 PE=2 SV=1",">sp|Q8VCE9|PKHH3_MOUSE Pleckstrin homology domain-containing family H member 3 OS=Mus musculus OX=10090 GN=Plekhh3 PE=2 SV=1","ENSMUSG00000035172"
"6463","P2ry14","Q9ESG6","P2Y purinoceptor 14 OS=Mus musculus OX=10090 GN=P2ry14 PE=2 SV=1",">sp|Q9ESG6|P2Y14_MOUSE P2Y purinoceptor 14 OS=Mus musculus OX=10090 GN=P2ry14 PE=2 SV=1","ENSMUSG00000036381"
"6464","Zmym3","B1AXS8","Zinc finger MYM-type protein 3 OS=Mus musculus OX=10090 GN=Zmym3 PE=1 SV=1",">tr|B1AXS8|B1AXS8_MOUSE Zinc finger MYM-type protein 3 OS=Mus musculus OX=10090 GN=Zmym3 PE=1 SV=1","ENSMUSG00000031310"
"6465","Mpig6b","D7PDD4","Megakaryocyte and platelet inhibitory receptor G6b OS=Mus musculus OX=10090 GN=Mpig6b PE=1 SV=1",">sp|D7PDD4|G6B_MOUSE Megakaryocyte and platelet inhibitory receptor G6b OS=Mus musculus OX=10090 GN=Mpig6b PE=1 SV=1","ENSMUSG00000073414"
"6466","Serf2","P84102","Small EDRK-rich factor 2 OS=Mus musculus OX=10090 GN=Serf2 PE=1 SV=1",">sp|P84102|SERF2_MOUSE Small EDRK-rich factor 2 OS=Mus musculus OX=10090 GN=Serf2 PE=1 SV=1","ENSMUSG00000074884"
"6467","Manba","A0A0R4J092","Beta-mannosidase OS=Mus musculus OX=10090 GN=Manba PE=1 SV=1",">tr|A0A0R4J092|A0A0R4J092_MOUSE Beta-mannosidase OS=Mus musculus OX=10090 GN=Manba PE=1 SV=1","ENSMUSG00000028164"
"6468","Ccdc186","Q8C9S4","Coiled-coil domain-containing protein 186 OS=Mus musculus OX=10090 GN=Ccdc186 PE=1 SV=2",">sp|Q8C9S4|CC186_MOUSE Coiled-coil domain-containing protein 186 OS=Mus musculus OX=10090 GN=Ccdc186 PE=1 SV=2","ENSMUSG00000035173"
"6469","C6.1al","Q7M757","Lys-63-specific deubiquitinase BRCC36-like OS=Mus musculus OX=10090 GN=C6.1al PE=2 SV=1",">sp|Q7M757|BRC3L_MOUSE Lys-63-specific deubiquitinase BRCC36-like OS=Mus musculus OX=10090 GN=C6.1al PE=2 SV=1","ENSMUSG00000112039"
"6470","Nat2","P50295","Arylamine N-acetyltransferase 2 OS=Mus musculus OX=10090 GN=Nat2 PE=1 SV=1",">sp|P50295|ARY2_MOUSE Arylamine N-acetyltransferase 2 OS=Mus musculus OX=10090 GN=Nat2 PE=1 SV=1","ENSMUSG00000051147"
"6471","Cnih4","Q9CX13","Protein cornichon homolog 4 OS=Mus musculus OX=10090 GN=Cnih4 PE=2 SV=1",">sp|Q9CX13|CNIH4_MOUSE Protein cornichon homolog 4 OS=Mus musculus OX=10090 GN=Cnih4 PE=2 SV=1","ENSMUSG00000062169"
"6472","Spats2","Q8K1N4","Spermatogenesis-associated serine-rich protein 2 OS=Mus musculus OX=10090 GN=Spats2 PE=1 SV=1",">sp|Q8K1N4|SPAS2_MOUSE Spermatogenesis-associated serine-rich protein 2 OS=Mus musculus OX=10090 GN=Spats2 PE=1 SV=1","ENSMUSG00000051934"
"6473","Epha2","Q03145","Ephrin type-A receptor 2 OS=Mus musculus OX=10090 GN=Epha2 PE=1 SV=3",">sp|Q03145|EPHA2_MOUSE Ephrin type-A receptor 2 OS=Mus musculus OX=10090 GN=Epha2 PE=1 SV=3","ENSMUSG00000006445"
"6474","Trarg1","Q8C838","Trafficking regulator of GLUT4 1 OS=Mus musculus OX=10090 GN=Trarg1 PE=1 SV=1",">sp|Q8C838|TARG1_MOUSE Trafficking regulator of GLUT4 1 OS=Mus musculus OX=10090 GN=Trarg1 PE=1 SV=1","ENSMUSG00000046275"
"6475","Me2","Q99KE1","NAD-dependent malic enzyme, mitochondrial OS=Mus musculus OX=10090 GN=Me2 PE=1 SV=1",">sp|Q99KE1|MAOM_MOUSE NAD-dependent malic enzyme, mitochondrial OS=Mus musculus OX=10090 GN=Me2 PE=1 SV=1","ENSMUSG00000024556"
"6476","Atp1b2","P14231","Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus OX=10090 GN=Atp1b2 PE=1 SV=2",">sp|P14231|AT1B2_MOUSE Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus OX=10090 GN=Atp1b2 PE=1 SV=2","ENSMUSG00000041329"
"6477","Hebp1","Q9R257","Heme-binding protein 1 OS=Mus musculus OX=10090 GN=Hebp1 PE=1 SV=2",">sp|Q9R257|HEBP1_MOUSE Heme-binding protein 1 OS=Mus musculus OX=10090 GN=Hebp1 PE=1 SV=2",""
"6478","Golph3l","H3BJ12","Golgi phosphoprotein 3-like (Fragment) OS=Mus musculus OX=10090 GN=Golph3l PE=1 SV=1",">tr|H3BJ12|H3BJ12_MOUSE Golgi phosphoprotein 3-like (Fragment) OS=Mus musculus OX=10090 GN=Golph3l PE=1 SV=1","ENSMUSG00000046519"
"6479","Fgd4","Q91ZT5","FYVE, RhoGEF and PH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Fgd4 PE=1 SV=1",">sp|Q91ZT5|FGD4_MOUSE FYVE, RhoGEF and PH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Fgd4 PE=1 SV=1","ENSMUSG00000022788"
"6480","D17h6s53e","Q9Z1R4","Uncharacterized protein C6orf47 homolog OS=Mus musculus OX=10090 GN=D17h6s53e PE=1 SV=1",">sp|Q9Z1R4|CF047_MOUSE Uncharacterized protein C6orf47 homolog OS=Mus musculus OX=10090 GN=D17h6s53e PE=1 SV=1","ENSMUSG00000043311"
"6481","Ighv1-81","A0A075B5Y4","Immunoglobulin heavy variable 1-81 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-81 PE=4 SV=1",">tr|A0A075B5Y4|A0A075B5Y4_MOUSE Immunoglobulin heavy variable 1-81 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-81 PE=4 SV=1","ENSMUSG00000094689"
"6482","Tbc1d16","Q6PFC0","TBC1 domain family, member 16 OS=Mus musculus OX=10090 GN=Tbc1d16 PE=1 SV=1",">tr|Q6PFC0|Q6PFC0_MOUSE TBC1 domain family, member 16 OS=Mus musculus OX=10090 GN=Tbc1d16 PE=1 SV=1","ENSMUSG00000039976"
"6483","Washc3","S4R287","Coiled-coil domain-containing protein 53 OS=Mus musculus OX=10090 GN=Washc3 PE=1 SV=1",">tr|S4R287|S4R287_MOUSE Coiled-coil domain-containing protein 53 OS=Mus musculus OX=10090 GN=Washc3 PE=1 SV=1","ENSMUSG00000020056"
"6484","Proser1","Q5PRE5","Proline and serine-rich protein 1 OS=Mus musculus OX=10090 GN=Proser1 PE=1 SV=1",">sp|Q5PRE5|PRSR1_MOUSE Proline and serine-rich protein 1 OS=Mus musculus OX=10090 GN=Proser1 PE=1 SV=1","ENSMUSG00000049504"
"6485","Ptpn2","Q06180","Tyrosine-protein phosphatase non-receptor type 2 OS=Mus musculus OX=10090 GN=Ptpn2 PE=1 SV=2",">sp|Q06180|PTN2_MOUSE Tyrosine-protein phosphatase non-receptor type 2 OS=Mus musculus OX=10090 GN=Ptpn2 PE=1 SV=2","ENSMUSG00000024539"
"6486","Loxl3","Q9Z175","Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2",">sp|Q9Z175|LOXL3_MOUSE Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2","ENSMUSG00000000693"
"6487","Elp5","Q99L85","Elongator complex protein 5 OS=Mus musculus OX=10090 GN=Elp5 PE=2 SV=1",">sp|Q99L85|ELP5_MOUSE Elongator complex protein 5 OS=Mus musculus OX=10090 GN=Elp5 PE=2 SV=1","ENSMUSG00000018565"
"6488","Arsa","P50428","Arylsulfatase A OS=Mus musculus OX=10090 GN=Arsa PE=1 SV=2",">sp|P50428|ARSA_MOUSE Arylsulfatase A OS=Mus musculus OX=10090 GN=Arsa PE=1 SV=2","ENSMUSG00000022620"
"6489","Tbx2","Q60707","T-box transcription factor TBX2 OS=Mus musculus OX=10090 GN=Tbx2 PE=1 SV=3",">sp|Q60707|TBX2_MOUSE T-box transcription factor TBX2 OS=Mus musculus OX=10090 GN=Tbx2 PE=1 SV=3","ENSMUSG00000000093"
"6490","Dgkq","Q6P5E8","Diacylglycerol kinase theta OS=Mus musculus OX=10090 GN=Dgkq PE=1 SV=1",">sp|Q6P5E8|DGKQ_MOUSE Diacylglycerol kinase theta OS=Mus musculus OX=10090 GN=Dgkq PE=1 SV=1","ENSMUSG00000004815"
"6491","Kdm4b","Q91VY5","Lysine-specific demethylase 4B OS=Mus musculus OX=10090 GN=Kdm4b PE=2 SV=1",">sp|Q91VY5|KDM4B_MOUSE Lysine-specific demethylase 4B OS=Mus musculus OX=10090 GN=Kdm4b PE=2 SV=1","ENSMUSG00000024201"
"6492","Atp8a2","P98200","Phospholipid-transporting ATPase IB OS=Mus musculus OX=10090 GN=Atp8a2 PE=1 SV=1",">sp|P98200|AT8A2_MOUSE Phospholipid-transporting ATPase IB OS=Mus musculus OX=10090 GN=Atp8a2 PE=1 SV=1","ENSMUSG00000021983"
"6493","Plxna4","Q80UG2","Plexin-A4 OS=Mus musculus OX=10090 GN=Plxna4 PE=1 SV=3",">sp|Q80UG2|PLXA4_MOUSE Plexin-A4 OS=Mus musculus OX=10090 GN=Plxna4 PE=1 SV=3","ENSMUSG00000029765"
"6494","Flt4","P35917","Vascular endothelial growth factor receptor 3 OS=Mus musculus OX=10090 GN=Flt4 PE=1 SV=1",">sp|P35917|VGFR3_MOUSE Vascular endothelial growth factor receptor 3 OS=Mus musculus OX=10090 GN=Flt4 PE=1 SV=1","ENSMUSG00000020357"
"6495","Tmed1","Q3V009","Transmembrane emp24 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tmed1 PE=1 SV=1",">sp|Q3V009|TMED1_MOUSE Transmembrane emp24 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tmed1 PE=1 SV=1","ENSMUSG00000032180"
"6496","Dnajc1","Q61712","DnaJ homolog subfamily C member 1 OS=Mus musculus OX=10090 GN=Dnajc1 PE=1 SV=1",">sp|Q61712|DNJC1_MOUSE DnaJ homolog subfamily C member 1 OS=Mus musculus OX=10090 GN=Dnajc1 PE=1 SV=1","ENSMUSG00000026740"
"6497","Dach1","Q9QYB2","Dachshund homolog 1 OS=Mus musculus OX=10090 GN=Dach1 PE=1 SV=1",">sp|Q9QYB2|DACH1_MOUSE Dachshund homolog 1 OS=Mus musculus OX=10090 GN=Dach1 PE=1 SV=1","ENSMUSG00000055639"
"6498","Sdad1","A0A0J9YV20","Protein SDA1 OS=Mus musculus OX=10090 GN=Sdad1 PE=1 SV=1",">tr|A0A0J9YV20|A0A0J9YV20_MOUSE Protein SDA1 OS=Mus musculus OX=10090 GN=Sdad1 PE=1 SV=1","ENSMUSG00000029415"
"6499","Pofut1","Q3UXG7","GDP-fucose protein O-fucosyltransferase 1 OS=Mus musculus OX=10090 GN=Pofut1 PE=1 SV=1",">tr|Q3UXG7|Q3UXG7_MOUSE GDP-fucose protein O-fucosyltransferase 1 OS=Mus musculus OX=10090 GN=Pofut1 PE=1 SV=1","ENSMUSG00000046020"
"6500","Rbp4","Q00724","Retinol-binding protein 4 OS=Mus musculus OX=10090 GN=Rbp4 PE=1 SV=2",">sp|Q00724|RET4_MOUSE Retinol-binding protein 4 OS=Mus musculus OX=10090 GN=Rbp4 PE=1 SV=2","ENSMUSG00000024990"
"6501","Trim35","A0A0R4J031","E3 ubiquitin-protein ligase TRIM35 OS=Mus musculus OX=10090 GN=Trim35 PE=1 SV=1",">tr|A0A0R4J031|A0A0R4J031_MOUSE E3 ubiquitin-protein ligase TRIM35 OS=Mus musculus OX=10090 GN=Trim35 PE=1 SV=1","ENSMUSG00000022043"
"6502","Bahd1","Z4YMJ8","Bromo adjacent homology domain-containing 1 protein (Fragment) OS=Mus musculus OX=10090 GN=Bahd1 PE=1 SV=7",">tr|Z4YMJ8|Z4YMJ8_MOUSE Bromo adjacent homology domain-containing 1 protein (Fragment) OS=Mus musculus OX=10090 GN=Bahd1 PE=1 SV=7","ENSMUSG00000040007"
"6503","Arid4a","F8VPQ2","AT-rich interactive domain-containing protein 4A OS=Mus musculus OX=10090 GN=Arid4a PE=1 SV=1",">sp|F8VPQ2|ARI4A_MOUSE AT-rich interactive domain-containing protein 4A OS=Mus musculus OX=10090 GN=Arid4a PE=1 SV=1","ENSMUSG00000048118"
"6504","Zer1","Q80ZJ6","Protein zer-1 homolog OS=Mus musculus OX=10090 GN=Zer1 PE=1 SV=1",">sp|Q80ZJ6|ZER1_MOUSE Protein zer-1 homolog OS=Mus musculus OX=10090 GN=Zer1 PE=1 SV=1","ENSMUSG00000039686"
"6505","Ash1l","Q99MY8","Histone-lysine N-methyltransferase ASH1L OS=Mus musculus OX=10090 GN=Ash1l PE=1 SV=3",">sp|Q99MY8|ASH1L_MOUSE Histone-lysine N-methyltransferase ASH1L OS=Mus musculus OX=10090 GN=Ash1l PE=1 SV=3","ENSMUSG00000028053"
